Pressure,Temp,Vg,Density,hf(j),hf(cal),hg(j),hg(cal),hfg(j),hfg(cal),SpecificHeat,DynamicViscosity
bar,C,m3/kg,kg/m3,kj/kg,kcal/kg,kJ/kg,kcal/kg,kJ/kg,kcal/kg,kj/kg.K,kg/m.s
0,100.0,1.674,,419.10,,2675.76,,2256.66,,,
0.1,102.7,1.533,,430.33,,2679.95,,2249.62,,,
0.2,105.1,1.414,,440.76,,2683.81,,2243.05,,,
0.3,107.4,1.313,,450.51,,2687.37,,2236.86,,,
0.4,109.6,1.226,,459.68,,2690.69,,2231.02,,,
0.5,111.6,1.150,,468.33,,2693.80,,2225.47,,,
0.6,113.6,1.083,,476.53,,2696.72,,2220.19,,,
0.7,115.4,1.024,,484.34,,2699.47,,2215.13,,,
0.8,117.2,0.971,,491.78,,2702.07,,2210.29,,,
0.9,118.8,0.923,,498.90,,2704.54,,2205.64,,,
1,120.4,0.880,,505.73,,2706.88,,2201.16,,,
1.1,122.0,0.841,,512.28,,2709.12,,2196.83,,,
1.2,123.5,0.806,,518.60,,2711.25,,2192.65,,,
1.3,124.9,0.773,,524.69,,2713.29,,2188.60,,,
1.4,126.3,0.743,,530.57,,2715.25,,2184.67,,,
1.5,127.6,0.715,,536.27,,2717.13,,2180.86,,,
1.6,128.9,0.690,,541.78,,2718.93,,2177.15,,,
1.7,130.2,0.666,,547.13,,2720.67,,2173.54,,,
1.8,131.4,0.644,,552.32,,2722.34,,2170.02,,,
1.9,132.6,0.623,,557.37,,2723.96,,2166.58,,,
2,133.7,0.603,,562.29,,2725.52,,2163.23,,,
2.2,135.9,0.568,,571.74,,2728.48,,2156.74,,,
2.4,138.0,0.537,,580.74,,2731.27,,2150.53,,,
2.6,140.0,0.509,,589.33,,2733.89,,2144.55,,,
2.8,141.9,0.484,,597.56,,2736.36,,2138.80,,,
3,143.8,0.461,,605.45,,2738.70,,2133.24,,,
3.2,145.5,0.440,,613.04,,2740.92,,2127.87,,,
3.4,147.2,0.422,,620.36,,2743.02,,2122.67,,,
3.6,148.9,0.404,,627.42,,2745.03,,2117.61,,,
3.8,150.4,0.389,,634.24,,2746.94,,2112.70,,,
4,152.0,0.374,,640.85,,2748.77,,2107.92,,,
4.5,155.6,0.342,,656.52,,2753.00,,2096.49,,,
5,158.9,0.315,,671.12,,2756.82,,2085.70,,,
5.5,162.1,0.292,,684.81,,2760.28,,2075.47,,,
6,165.1,0.272,,697.72,,2763.44,,2065.72,,,
6.5,167.9,0.255,,709.94,,2766.33,,2056.39,,,
7,170.6,0.240,,721.56,,2768.99,,2047.43,,,
7.5,173.0,0.227,,732.64,,2771.45,,2038.81,,,
8,175.5,0.215,,743.24,,2773.72,,2030.49,,,
8.5,177.8,0.204,,753.40,,2775.83,,2022.43,,,
9,178.0,0.194,,763.17,,2777.80,,2014.63,,,
9.5,182.1,0.185,,772.58,,2779.62,,2007.05,,,
10,184.2,0.177,,781.66,,2781.33,,1999.67,,,
10.5,186.1,0.170,,790.43,,2782.92,,1992.49,,,
11,188.0,0.163,,798.93,,2784.41,,1985.48,,,
11.5,189.9,0.157,,807.17,,2785.80,,1978.63,,,
12,191.7,0.151,,815.17,,2787.11,,1971.94,,,
12.5,193.4,0.146,,822.95,,2788.33,,1965.38,,,
13,195.1,0.141,,830.52,,2789.48,,1958.96,,,
13.5,196.8,0.136,,837.89,,2790.56,,1952.67,,,
14,198.4,0.132,,845.08,,2791.57,,1946.49,,,
14.5,199.9,0.128,,852.09,,2792.51,,1940.42,,,
15,201.5,0.124,,858.95,,2793.40,,1934.46,,,
15.5,202.9,0.120,,865.65,,2794.24,,1928.59,,,
16,204.4,0.117,,872.20,,2795.02,,1922.82,,,
17,207.2,0.110,,884.91,,2796.44,,1911.53,,,
18,209.9,0.105,,897.12,,2797.68,,1900.57,,,
19,212.5,0.100,,908.87,,2798.77,,1889.89,,,
20,214.9,0.095,,920.22,,2799.71,,1879.49,,,
21,217.3,0.091,,931.19,,2800.51,,1869.32,,,
22,219.6,0.087,,941.82,,2801.20,,1859.38,,,
23,221.8,0.083,,952.13,,2801.77,,1849.65,,,
