Temp,Saturation vapor pressure,Density,hf(j),hf(cal),sh(j),sh(cal),Volume heat capacity,DynamicViscosity
C,Pa,kg/m3,kj/kg,kcal/kg,kj/kg.K,kcal/kg.K,kj/m3,kg/m.s
0,611,999.82,0.06,0.01,4.217,1.007,4216.1,0.001792
1,657,999.89,4.28,1.02,4.213,1.006,4213.03,0.001731
2,705,999.94,8.49,2.03,4.21,1.006,4210.12,0.001674
3,757,999.98,12.7,3.03,4.207,1.005,4207.36,0.00162
4,813,1000,16.9,4.04,4.205,1.004,4204.74,0.001569
5,872,1000,21.11,5.04,4.202,1.004,4202.26,0.00152
6,935,999.99,25.31,6.04,4.2,1.003,4199.89,0.001473
7,1001,999.96,29.51,7.05,4.198,1.003,4197.63,0.001429
8,1072,999.91,33.7,8.05,4.196,1.002,4195.47,0.001386
9,1147,999.85,37.9,9.05,4.194,1.002,4193.4,0.001346
10,1227,999.77,42.09,10.05,4.192,1.001,4191.42,0.001308
11,1312,999.68,46.28,11.05,4.191,1.001,4189.51,0.001271
12,1402,999.58,50.47,12.06,4.189,1.001,4187.67,0.001236
13,1497,999.46,54.66,13.06,4.188,1,4185.89,0.001202
14,1597,999.33,58.85,14.06,4.187,1,4184.16,0.00117
15,1704,999.19,63.04,15.06,4.186,1,4182.49,0.001139
16,1817,999.03,67.22,16.06,4.185,1,4180.86,0.001109
17,1936,998.86,71.41,17.06,4.184,0.999,4179.27,0.001081
18,2063,998.68,75.59,18.05,4.183,0.999,4177.72,0.001054
19,2196,998.49,79.77,19.05,4.182,0.999,4176.2,0.001028
20,2337,998.29,83.95,20.05,4.182,0.999,4174.7,0.001003
21,2486,998.08,88.14,21.05,4.181,0.999,4173.23,0.000979
22,2642,997.86,92.32,22.05,4.181,0.999,4171.78,0.000955
23,2808,997.62,96.5,23.05,4.18,0.998,4170.34,0.000933
24,2982,997.38,100.68,24.05,4.18,0.998,4168.92,0.000911
25,3166,997.13,104.86,25.04,4.18,0.998,4167.51,0.000891
26,3360,996.86,109.04,26.04,4.179,0.998,4166.11,0.000871
27,3564,996.59,113.22,27.04,4.179,0.998,4164.71,0.000852
28,3779,996.31,117.39,28.04,4.179,0.998,4163.31,0.000833
29,4004,996.02,121.57,29.04,4.179,0.998,4161.92,0.000815
30,4242,995.71,125.75,30.04,4.178,0.998,4160.53,0.000798
31,4491,995.41,129.93,31.03,4.178,0.998,4159.13,0.000781
32,4754,995.09,134.11,32.03,4.178,0.998,4157.73,0.000765
33,5029,994.76,138.29,33.03,4.178,0.998,4156.33,0.000749
34,5318,994.43,142.47,34.03,4.178,0.998,4154.92,0.000734
